"","ps","well","rep_group","Cq","Cq_mean","Cq_StDev","Cq_StErrMean","conc"
"49","brnQ","B11","B",13.0952576604217,13.0359434562983,0.00394084962450154,0.00394084962450154,1e-06
"50","brnQ","B12","B",12.9947309794875,13.0359434562983,0.00394084962450154,0.00394084962450154,1e-06
"51","brnQ","C10","C",15.440273937336,15.4277296665018,0.00705722149978452,0.00705722149978452,1e-05
"52","brnQ","C11","C",15.3277982446127,15.4277296665018,0.00705722149978452,0.00705722149978452,1e-05
"53","brnQ","C12","C",15.5151168175568,15.4277296665018,0.00705722149978452,0.00705722149978452,1e-05
"54","brnQ","D10","D",18.6946235963696,18.7446631201181,0.0092111493966792,0.0092111493966792,1e-04
"55","brnQ","D11","D",18.8848649804924,18.7446631201181,0.0092111493966792,0.0092111493966792,1e-04
"56","brnQ","D12","D",18.6545007834922,18.7446631201181,0.0092111493966792,0.0092111493966792,1e-04
"57","brnQ","E10","E",22.1309578948756,22.1651412501681,0.00693464281784423,0.00693464281784423,0.001
"58","brnQ","E11","E",22.0944402257191,22.1651412501681,0.00693464281784423,0.00693464281784423,0.001
"59","brnQ","E12","E",22.2700256299096,22.1651412501681,0.00693464281784423,0.00693464281784423,0.001
"60","brnQ","F10","F",25.3266779345031,25.4834506483089,0.0132103063833619,0.0132103063833619,0.01
"61","brnQ","F11","F",25.4490666016655,25.4834506483089,0.0132103063833619,0.0132103063833619,0.01
"62","brnQ","F12","F",25.674607408758,25.4834506483089,0.0132103063833619,0.0132103063833619,0.01
"63","brnQ","G10","G",28.6663188015457,28.7651011756,0.00667097018022071,0.00667097018022071,0.1
"64","brnQ","G11","G",28.7894901440536,28.7651011756,0.00667097018022071,0.00667097018022071,0.1
"65","brnQ","G12","G",28.8394945812007,28.7651011756,0.00667097018022071,0.00667097018022071,0.1
