"","ps","well","rep_group","Cq","Cq_mean","Cq_StDev","Cq_StErrMean","conc","logConc"
"33","cap5A","D7","D",19.394460347258,19.288827539997,0.00796743135806113,0.00796743135806113,18200,9.80917687306489
"34","cap5A","D8","D",19.1815826895843,19.288827539997,0.00796743135806113,0.00796743135806113,18200,9.80917687306489
"35","cap5A","D9","D",19.2904395831487,19.288827539997,0.00796743135806113,0.00796743135806113,18200,9.80917687306489
"36","cap5A","E7","E",22.7768386221048,22.7544414622467,0.00592807259283492,0.00592807259283492,182000,12.1117619660589
"37","cap5A","E8","E",22.6664533622281,22.7544414622467,0.00592807259283492,0.00592807259283492,182000,12.1117619660589
"38","cap5A","E9","E",22.8200324024072,22.7544414622467,0.00592807259283492,0.00592807259283492,182000,12.1117619660589
"39","cap5A","F7","F",26.3124086950952,26.2794664762945,0.0021374174800258,0.0021374174800258,1820000,14.414347059053
"40","cap5A","F8","F",26.261732646718,26.2794664762945,0.0021374174800258,0.0021374174800258,1820000,14.414347059053
"41","cap5A","F9","F",26.2642580870703,26.2794664762945,0.0021374174800258,0.0021374174800258,1820000,14.414347059053
"42","cap5A","G7","G",29.7635935737282,29.7030434246432,0.00663085707478205,0.00663085707478205,18200000,16.716932152047
"43","cap5A","G8","G",29.6013639035701,29.7030434246432,0.00663085707478205,0.00663085707478205,18200000,16.716932152047
"44","cap5A","G9","G",29.7441727966312,29.7030434246432,0.00663085707478205,0.00663085707478205,18200000,16.716932152047
"45","brnQ","A10","A",11.666524511046,11.6065969196309,0.00661042747716258,0.00661042747716258,18.2,2.90142159408275
"46","brnQ","A11","A",11.5051729149201,11.6065969196309,0.00661042747716258,0.00661042747716258,18.2,2.90142159408275
"47","brnQ","A12","A",11.6480933329265,11.6065969196309,0.00661042747716258,0.00661042747716258,18.2,2.90142159408275
"48","brnQ","B10","B",13.0178417289858,13.0359434562983,0.00394084962450154,0.00394084962450154,182,5.2040066870768
"49","brnQ","B11","B",13.0952576604217,13.0359434562983,0.00394084962450154,0.00394084962450154,182,5.2040066870768
"50","brnQ","B12","B",12.9947309794875,13.0359434562983,0.00394084962450154,0.00394084962450154,182,5.2040066870768
"51","brnQ","C10","C",15.440273937336,15.4277296665018,0.00705722149978452,0.00705722149978452,1820,7.50659178007084
"52","brnQ","C11","C",15.3277982446127,15.4277296665018,0.00705722149978452,0.00705722149978452,1820,7.50659178007084
"53","brnQ","C12","C",15.5151168175568,15.4277296665018,0.00705722149978452,0.00705722149978452,1820,7.50659178007084
"54","brnQ","D10","D",18.6946235963696,18.7446631201181,0.0092111493966792,0.0092111493966792,18200,9.80917687306489
"55","brnQ","D11","D",18.8848649804924,18.7446631201181,0.0092111493966792,0.0092111493966792,18200,9.80917687306489
"56","brnQ","D12","D",18.6545007834922,18.7446631201181,0.0092111493966792,0.0092111493966792,18200,9.80917687306489
"57","brnQ","E10","E",22.1309578948756,22.1651412501681,0.00693464281784423,0.00693464281784423,182000,12.1117619660589
"58","brnQ","E11","E",22.0944402257191,22.1651412501681,0.00693464281784423,0.00693464281784423,182000,12.1117619660589
"59","brnQ","E12","E",22.2700256299096,22.1651412501681,0.00693464281784423,0.00693464281784423,182000,12.1117619660589
"60","brnQ","F10","F",25.3266779345031,25.4834506483089,0.0132103063833619,0.0132103063833619,1820000,14.414347059053
"61","brnQ","F11","F",25.4490666016655,25.4834506483089,0.0132103063833619,0.0132103063833619,1820000,14.414347059053
"62","brnQ","F12","F",25.674607408758,25.4834506483089,0.0132103063833619,0.0132103063833619,1820000,14.414347059053
"63","brnQ","G10","G",28.6663188015457,28.7651011756,0.00667097018022071,0.00667097018022071,18200000,16.716932152047
"64","brnQ","G11","G",28.7894901440536,28.7651011756,0.00667097018022071,0.00667097018022071,18200000,16.716932152047
"65","brnQ","G12","G",28.8394945812007,28.7651011756,0.00667097018022071,0.00667097018022071,18200000,16.716932152047
